Site_ID,Data_set_ID,UWI,NAD83_Lat,NAD83_Long,Date_samp,Grnd_elev,KB_elev,Top_rel_sea,Bot_rel_sea,Top_rel_dep,Bot_rel_dep,Culled,Cat_an_bal,Lithium,Form_name
104718,AGSWDB,00/11-29-069-11W4-0,55.004115,-111.650318,n/a,662.9,666.6,302.4,298.7,364.2,367.9,Yes,0.023194,3.6,Mannville Group
104720,AGSWDB,00/06-31-069-11W4-0,55.014351,-111.675905,n/a,600.5,602.9,362.1,353,240.8,249.9,Yes,-0.004907,1.7,Viking Formation
104795,AGSWDB,00/07-11-069-14W4-0,54.955255,-112.020832,n/a,568.8,571.8,123.7,108.5,448.1,463.3,Yes,0.005204,4.5,Mannville Group
104795,AGSWDB,00/07-11-069-14W4-0,54.955255,-112.020832,n/a,568.8,571.8,287.7,284.1,284.1,287.7,Yes,0.010361,5,Mannville Group
104795,AGSWDB,00/07-11-069-14W4-0,54.955255,-112.020832,n/a,568.8,571.8,331.9,323.4,239.9,248.4,Yes,0.021556,4,Viking Formation
104842,AGSWDB,00/10-26-069-18W4-0,55.005615,-112.63175,n/a,550.5,553.2,103.9,93.6,449.3,459.6,Yes,0.060357,6.2,Mannville Group
104900,AGSWDB,00/10-27-069-22W4-0,55.004869,-113.266995,n/a,657.5,660.8,43.9,40.2,616.9,620.6,Yes,0.016519,6.6,Mannville Group
-1049085577,BRB,n/a,54.698771,-110.677133,15-May-99,640.7,n/a,635.2,631.9,n/a,n/a,No,n/a,0.024,n/a
-1049085577,BRB,n/a,54.698771,-110.677133,18-Apr-01,640.7,n/a,635.2,631.9,n/a,n/a,No,n/a,0.021,n/a
104912,AGSWDB,00/07-17-069-23W4-0,54.970015,-113.474969,n/a,635.5,638.6,29,25.3,609.6,613.3,Yes,0.020083,7.4,Mannville Group
104913,AGSWDB,00/07-22-069-23W4-0,54.985112,-113.423533,n/a,613,616.9,46.9,40.8,570,576.1,Yes,0.001278,8.7,Mannville Group
104919,AGSWDB,00/06-33-069-23W4-0,55.015358,-113.45414,n/a,615.1,618.7,51.8,45.7,566.9,573,Yes,0.025137,6.8,Mannville Group
104938,AGSWDB,00/07-21-069-25W4-0,54.985372,-113.749983,n/a,699.2,701.6,-43,-58.6,744.6,760.2,Yes,-0.028302,13,Wabamun Group
104974,AGSWDB,00/07-29-069-01W5-0,55.001211,-114.11068,n/a,599.5,603.5,-100.6,-107.6,704.1,711.1,No,-0.0126,7.9,Wabamun Group
105,ARC,00/05-17-001-08W4-2,49.17214,-113.433251,28-Jun-77,1280.5,n/a,1239.3,1233.2,41.1,47.2,No,0.054364,<0.1,n/a
105401,AGSWDB,00/01-07-069-21W5-0,54.953639,-117.183213,n/a,646.5,650.7,-788.9,-847.4,1439.6,1498.1,Yes,0.000577,30,Jurassic system
105428,AERI,02/05-01-069-22W5-0,52.63488,-112.33298,04-Nov-02,739.9,n/a,715.5,703.3,n/a,n/a,No,101,0.054,Horseshoe Canyon
105474,AGSWDB,02/01-12-069-22W5-0,54.954476,-117.207831,n/a,637.3,641,-846.4,-853.7,1487.4,1494.7,No,-0.00442,32,Nordegg Member
105711,AGSWDB,00/10-04-070-12W4-0,55.034344,-111.771519,n/a,602,604.4,347.8,342.3,256.6,262.1,Yes,-0.002927,4.1,Viking Formation
105713,AGSWDB,00/06-10-070-12W4-0,55.045584,-111.753522,n/a,601.7,605,161.5,141.7,443.5,463.3,Yes,0.020796,5,Mannville Group
105713,AGSWDB,00/06-10-070-12W4-0,55.045584,-111.753522,n/a,601.7,605,356.6,352,248.4,253,Yes,0.03627,6.7,Viking Formation
