UWI	Licence_no	SH_lat_NAD83	SH_long_NAD83	BH_lat_NAD83	BH_long_NAD83	KB_El_masl28	Total_depth_m	Smpl_date	Smpl_obs_no	Top_MD_m	Base_MD_m	Smpl_point	Date_analyz	H2S_conc	Publisher
100161708524W500	475664	56.380221	-117.744745	56.376402	-117.745634	726.4	1058	8/14/2015	1	1012.5	1024	First Stage Separator	2015-08-14	0	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	5/6/2016	1	3161	6026	Meter Run	2016-05-20	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/14/2016	1	3294.8	6020.8	Meter Run	2016-06-14	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/16/2016	1	3294.8	6020.8	Meter Run	2016-06-16	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/18/2016	1	3294.8	6020.8	Meter Run	2016-06-18	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/20/2016	1	3294.8	6020.8	Meter Run	2016-06-20	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/21/2016	1	3294.8	6020.8	Meter Run	2016-06-30	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	7/26/2016	1	3294.8	6020.8	Meter Run	2016-07-29	0	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	6/6/2016	1	3161	6026	Meter Run	2016-06-09	0	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	7/12/2016	1	3161	6026	Meter Run	2016-07-20	0.0001	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	8/15/2016	1	3161	6026	Meter Run	2016-08-22	0.0001	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	9/12/2016	1	3161	6026	Meter Run	2016-09-22	0.0001	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	10/25/2016	1	3161	6026	Meter Run	2016-10-28	0.0001	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	11/17/2016	1	3161	6026	Meter Run	2016-11-23	0.0001	Alberta Geological Survey
102052607109W600	474185	55.152399	-119.250665	55.175218	-119.280274	737.2	5400	12/1/2016	1	2797	5361.1	Meter Run	2016-12-08	0.0532	Alberta Geological Survey
100052607109W600	474187	55.152399	-119.250508	55.177782	-119.280109	737.2	5725	9/6/2016	1	2845	5691.2	First Stage Separator	2016-09-14	0.0443	Alberta Geological Survey
100052607109W600	474187	55.152399	-119.250508	55.177782	-119.280109	737.2	5725	12/2/2016	1	2845	5691.1	Meter Run	2016-12-12	0.0537	Alberta Geological Survey
100113106418W500	474199	54.558629	-116.703079	54.582888	-116.711009	776	4512	7/17/2015	1	2023	4512	Meter Run	2015-07-30	0.003	Alberta Geological Survey
100113106418W500	474199	54.558629	-116.703079	54.582888	-116.711009	776	4512	8/9/2015	1	2023	4512	Meter Run	2015-08-20	0.003	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	8/15/2016	1	3294.8	6020.8	Meter Run	2016-08-23	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	9/6/2016	1	3294.8	6020.8	Meter Run	2016-09-09	0.0001	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	10/24/2016	1	3294.8	6020.8	Meter Run	2016-10-27	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	11/16/2016	1	3294.8	6020.8	Meter Run	2016-11-22	0.0001	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	11/10/2017	1	3294.8	6020.8	First Stage Separator	2017-11-17	0.0001	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	12/13/2016	1	3161	6026	Meter Run	2016-12-23	0.0002	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	1/16/2017	1	3161	6026	First Stage Separator	2017-01-24	0.0001	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	6/12/2017	1	3161	6026	First Stage Separator	2017-06-21	0.0001	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	8/16/2017	1	3161	6026	First Stage Separator	2017-08-19	0	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	8/8/2018	1	3161	6026	Meter Run	2018-08-12	0	Alberta Geological Survey
100131906404W600	475673	54.542430	-118.560798	54.559134	-118.601980	862.6	6079	8/1/2019	1	3161	6026	Meter Run	2019-08-04	0	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	6/6/2016	1	3073	6306	Meter Run	2016-06-09	0	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	7/12/2016	1	3073	6306	Meter Run	2016-07-20	0	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	8/15/2016	1	3073	6306	Meter Run	2016-08-22	0	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	9/12/2016	1	3073	6306	Meter Run	2016-09-22	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	10/25/2016	1	3073	6306	Meter Run	2016-10-28	0	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	11/17/2016	1	3073	6306	Meter Run	2016-11-23	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	12/13/2016	1	3073	6306	Meter Run	2016-12-22	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	3/14/2017	1	3073	6306	First Stage Separator	2017-03-23	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	4/12/2017	1	3073	6306	First Stage Separator	2017-04-21	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	5/15/2017	1	3073	6306	First Stage Separator	2017-05-25	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	6/12/2017	1	3073	6306	First Stage Separator	2017-06-19	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	7/25/2017	1	3073	6306	First Stage Separator	2017-07-31	0	Alberta Geological Survey
100081107912W600	468004	55.837967	-119.776297	55.830368	-119.751098	687.2	3828	11/20/2015	1	2309.1	3817.7	First Stage Separator	2015-11-30	0.0004	Alberta Geological Survey
103133207711W600	468013	55.710026	-119.657513	55.722878	-119.675723	786.4	4285	9/24/2014	1	2129.8	4285	Meter Run	2014-10-06	0.006	Alberta Geological Survey
104110906305W600	477444	54.457963	-118.698450	54.437509	-118.696990	1008.4	5565	5/7/2017	1	3390.5	5537.5	Meter Run	2017-05-17	0	Alberta Geological Survey
104110906305W600	477444	54.457963	-118.698450	54.437509	-118.696990	1008.4	5565	6/14/2017	1	3390.5	5537.5	First Stage Separator	2017-06-21	0	Alberta Geological Survey
103120906305W600	477445	54.458328	-118.698645	54.437481	-118.702832	1006.7	5614	11/28/2017	1	3470.5	5575.5	Meter Run	2017-12-04	0.0001	Alberta Geological Survey
103033006404W600	474944	54.541619	-118.559672	54.562574	-118.596320	863.5	6210	8/16/2017	1	3022	6073	First Stage Separator	2017-08-19	0	Alberta Geological Survey
100161707813W600	474964	55.755107	-119.940728	55.765777	-119.967134	725.5	4174	8/26/2015	1	2402	4155.5	Meter Run	2015-08-31	0	Alberta Geological Survey
102161707813W600	474969	55.755017	-119.940728	55.764059	-119.971047	726.9	4374	8/26/2015	1	2466.4	4357.5	Meter Run	2015-08-31	0	Alberta Geological Survey
103161707813W600	474971	55.754927	-119.940728	55.764041	-119.971088	726.7	4147	3/23/2016	1	2309.2	4147	Other	2016-04-02	0.0094	Alberta Geological Survey
100140506805W600	475100	54.861163	-118.766878	54.863767	-118.726744	685.7	4997	5/3/2016	1	2854.6	4997	Meter Run	2016-05-11	0.0007	Alberta Geological Survey
100131506908W602	474582	54.995359	-119.165420	54.981265	-119.140962	704.7	4680	9/1/2017	1	2741.8	4680	Other	2017-09-12	0.02	Alberta Geological Survey
100131506908W602	474582	54.995359	-119.165420	54.981265	-119.140962	704.7	4680	9/13/2018	1	2741.8	4680	First Stage Separator	2018-09-17	0.0187	Alberta Geological Survey
100131506908W602	474582	54.995359	-119.165420	54.981265	-119.140962	704.7	4680	11/7/2018	1	2741.8	4680	First Stage Separator	2018-11-29	0.0209	Alberta Geological Survey
100131506908W602	474582	54.995359	-119.165420	54.981265	-119.140962	704.7	4680	5/27/2019	1	2741.8	4680	Meter Run	2019-06-04	0.0158	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	2/2/2016	1	3210	6209	Meter Run	2016-02-16	0	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	8/16/2017	1	3073	6306	First Stage Separator	2017-08-19	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	8/8/2018	1	3073	6306	Meter Run	2018-08-11	0.0001	Alberta Geological Survey
100043006404W600	475674	54.543209	-118.559139	54.560844	-118.602107	865.2	6332	8/1/2019	1	3073	6306	Meter Run	2019-08-04	0	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	6/21/2016	1	3119	6192	Meter Run	2016-06-24	0.0002	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	7/12/2016	1	3119	6192	Meter Run	2016-07-20	0.0002	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	8/15/2016	1	3119	6192	Meter Run	2016-08-23	0.0003	Alberta Geological Survey
100010707810W600	470352	55.749734	-119.556130	55.738830	-119.527827	827.3	4105	11/6/2015	2	2230.5	4077.4	Other	2016-01-24	0	Alberta Geological Survey
102100106906W600	470394	54.949993	-118.815041	54.948534	-118.775389	682	4875	9/22/2015	1	2701.7	4875	Meter Run	2015-09-27	0.01	Alberta Geological Survey
100052706905W600	470395	54.991952	-118.663068	55.001417	-118.683151	661.7	3866	11/6/2015	1	2998.9	3824.2	Meter Run	2015-11-13	0.0006	Alberta Geological Survey
